name,category,city,phone,rating,reviews_count,website,instagram,facebook,digital_presence,instagram_followers,facebook_followers,opportunity_score,estimated_ltv,recommended_pitch,tier
Abel Layola(doomsdeck)|dj/music Producer,DJ Service,Ernakulam,917994903867.0,5.0,0.0,,https://www.instagram.com/doomsdeck?igsh=MTRnaHk1Z3oxYXczNw%3D%3D,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ Electro Bee,DJ Service,,918848477255.0,5.0,0.0,,https://www.instagram.com/electrobee_dj/,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,,,none,,,68,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Midukki Beauty Parlour,Beauty Parlour,Kozhikode,919744746634.0,5.0,2.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Shemy's Makeover,Beauty Parlour,Kozhikode,919074523826.0,5.0,6.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Makeover By Dilsha Shamnad,Make-up Artist,Kozhikode,919633772200.0,5.0,31.0,,,,none,,,85,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Cindrella Beauty Parlour,Beauty Parlour,Kozhikode,919947351547.0,5.0,11.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Makeup Gallery Bridal Makeup Kerala,Make-up Artist,Kozhikode,916282925511.0,5.0,2.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,,,none,,,68,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,,,none,,,68,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Akara Kochi,DJ Service,Kochi,,5.0,0.0,,https://www.instagram.com/akara_kochi?igsh=YjJlZnc5YWk2N2Nw,,social_only,,,60,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Dj Craftsmankochi,DJ Service,Kochi,,5.0,0.0,,,,none,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Beatz Garage Live Dj Band,DJ Service,Kochi,,5.0,0.0,,https://www.instagram.com/beatzgarage/,,social_only,,,60,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
M. K Sounds,Event Management Company,Aluva,919846005058.0,5.0,0.0,,,,none,,,78,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Dream Makers Wedding Factory,Event Management Company,Poovar,919746909549.0,5.0,0.0,,,,none,,,78,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Ad Creations Pro Stage Solutions,DJ Service,,917511131925.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
"Dj Kings Events Sound,lights, Truss",Event Management Company,,918220022545.0,5.0,0.0,,,,none,,,78,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Beyond The Scene,Event Planner,Kakkanad,,5.0,0.0,,,,none,,,68,975000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
SM Sound Media - Generator Rental,Electric Generator Shop,Angamaly,917510273418.0,5.0,0.0,,https://www.instagram.com/smsoundmedia?igsh=bmg2MXgyb2NpcW5r,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Makeup By Raash,Make-up Artist,Kozhikode,919633837314.0,5.0,19.0,,https://www.instagram.com/makeup_by_raash/profilecard/?igsh=MWRjandlY3VuenNhdw%3D%3D,,social_only,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
"Bvz Makeoverstudio & Salon, Hair Extension, Micro Blading Kozhikode",Hair Extension Technician,Kozhikode,916235335511.0,5.0,20.0,,,,none,,,85,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
"Moroccan Beauty Ladies & Kids Parlour, Chelavoor",Make-up Artist,Kozhikode,919745030564.0,5.0,32.0,,,,none,,,85,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,,,none,,,68,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Events 4 U,Event Planner,Kochi,,5.0,0.0,,,,none,,,70,975000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ INDUM,DJ Service,Kakkanad,918281228609.0,5.0,0.0,,https://www.instagram.com/iiindum?igsh=ZDNlZDc0MzIxNw%3D%3D,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DVS Pro Audo,Audiovisual Equipment Rental Service,,919895505567.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Basspecies,DJ Service,Kochi,919539032230.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Moonlights Entertainments,Event Management Company,Ernakulam,918113024377.0,5.0,0.0,,,,none,,,78,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Dj Ranlee,DJ Service,Kochi,,5.0,0.0,,https://instagram.com/djranlee,,social_only,,,60,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ AKHEEN,DJ Service,Kochi,917736280853.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
PRAGEE LIGHT AND SOUNDS,Event Management Company,Kakkodi,919447735175.0,5.0,0.0,,,,none,,,78,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Dj Vin,DJ Service,Elayavoor,919656880570.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
PARINAYA MAKEOVERS,Make-up Artist,Kozhikode,919744043052.0,5.0,21.0,,https://www.instagram.com/parinayamakeovers?igsh=b3dxZXkzMTlxaHpt,,social_only,,,75,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Azora Makeover Studio By Makeup Artist Naufiya Biju,Make-up Artist,Kochi,919946551862.0,5.0,33.0,,https://instagram.com/azora_makeover_studio?igshid=YmMyMTA2M2Y%3D,,social_only,,,75,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Beside Makeups By Makeup Artist Zaira,Make-up Artist,Kochi,,5.0,10.0,,https://www.instagram.com/makeupartistzaira?igsh=dHo5dnQ3N2pkZHV6,,social_only,,,60,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
HMJ The Bridal House(rental Ornaments | Bouquets | Makeup),Make-up Artist,Kochi,918075245064.0,5.0,10.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Bridal_makeup_by_prajitha,Make-up Artist,Kochi,916238886289.0,5.0,12.0,,https://www.instagram.com/makeup_by_prajitha/profilecard/?igsh=MWNmaHB2aHE5YTE2,,social_only,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Elegant Makeover,Make-up Artist,Kozhikode,918848545123.0,5.0,5.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Eva Nova Beauty Care,Beauty Parlour,Kozhikode,919746681855.0,5.0,15.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DWARAKA LIGHT AND SOUND,Audiovisual Equipment Rental Service,Vatakara,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ Raju Asher,DJ Service,Kozhikode,919847563391.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ AZWI,DJ Service,,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ SREENI,DJ Service,Kochi,918129776940.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ Androy/ Freelance Dj /kerala / Kottayam /,Entertainer,,917356321962.0,5.0,0.0,,https://www.instagram.com/dj_androy_/,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ Dheeru Beatz,DJ Service,Kochi,,5.0,0.0,,,http://facebook.com/dheerubeatzofficial,social_only,,,60,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Eventknotix,Event Management Company,Kochi,,5.0,0.0,,,,none,,,70,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Zayba Jewellery,Jewelry Store,Kallambalam,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Divine Collection,Jewelry Store,Varkala,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Sagma Fashion Jewellery,Jeweler,Attingal,919895945302.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
"Neenzbridal Makeover Studio, Salon & Academy. Galaxy Arcade, St. Elisebias Road, North Railway Station",Beauty Parlour,Kochi,918592986188.0,5.0,16.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Rechu Sajee Makeup Artist,Make-up Artist,Kochi,919746123472.0,5.0,38.0,,,,none,,,85,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Adornz Makeover,Make-up Artist,Ernakulam,919995085777.0,5.0,7.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Jini Sujith Makeup Artist,Make-up Artist,Ernakulam,918289803776.0,5.0,37.0,,,,none,,,83,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Makeover By Jezia - Bridal Makeup Artist,Make-up Artist,Kochi,919961821888.0,5.0,28.0,,https://www.instagram.com/makeover_by_jezia?igsh=MXE2NWVoNXJ0ZXg0ZA%3D%3D,,social_only,,,75,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Iris Make-up Artistry,Make-up Artist,Ernakulam,917736001244.0,5.0,2.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Ashwika's Bridal Makeup,Make-up Artist,Kochi,918129289202.0,5.0,32.0,,https://www.instagram.com/ashwika_makeup_artist?igsh=bzNxa2M5dGl0Yjd3,,social_only,,,75,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Rg Makeup Artistry,Beauty Parlour,Ernakulam,917306453584.0,5.0,42.0,,,,none,,,83,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
La Casa Bridal Studio,Beauty Parlour,Kozhikode,918593008111.0,5.0,4.0,,https://www.instagram.com/lacasa_bridal_studio?igsh=bWxqbGIwMWtocml1,,social_only,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Aroma's Beauty Solutions,Beauty Parlour,Kozhikode,,5.0,2.0,,,,none,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Blue Diamond,Jewelry Store,Varkala,916005093818.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
YARA GOLD COVERING,Jewelry Store,Paravur,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
#mehandi Desighner/ #celebrity Henna Artist AM HENNA,Mehndi Designer,Peruvallur,917560975869.0,5.0,11.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
MK AREEKODE,Event Management Company,Areekode,919744205473.0,5.0,0.0,,,,none,,,78,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Intimate Events,Event Management Company,,,5.0,0.0,,https://instagram.com/intimate__events?igshid=YjNmNGQ3MDY%3D,,social_only,,,58,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
"Gramophone Music Band & Musical Events,ganamela&orchestra(ganamela,instrumental Fusion,folk Band,mega Show Etc)",Musical Band And Orchestra,Padur,917012796429.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
